source_url,text
https://books.toscrape.com/catalogue/page-1.html,Â£45.17
https://books.toscrape.com/catalogue/page-1.html,In stock
https://quotes.toscrape.com/tag/love/,“It is better to be hated for what you are than to be loved for what you are not.”
https://quotes.toscrape.com/tag/love/,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
https://quotes.toscrape.com/tag/love/,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
https://quotes.toscrape.com/tag/love/,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"
https://quotes.toscrape.com/tag/love/,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
https://quotes.toscrape.com/tag/love/,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
https://quotes.toscrape.com/tag/love/,"“If you can make a woman laugh, you can make her do anything.”"
https://quotes.toscrape.com/tag/love/,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
https://quotes.toscrape.com/tag/love/,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”"
https://quotes.toscrape.com/tag/love/,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”"
